host_id,is_early,morphology,logMstar,Mstar,Reff_kpc,stellar_age_Gyr,logsSFR,sSFR,metallicity,sigma_v_km_s,D_MR_age,D_sigma_age,D_hybrid,D_reg,logD_reg,Dsat,F_fill,G_absorb,G_sat,G_overflow,phi_sat,delta_mu_sat,mu_resid,H0_proxy,well_regime
CAP_HOST_00000,True,early/quiescent,9.960594882796386,9132609388.33389,0.9604705132460724,7.931624428666684,-11.531515050528897,2.940931773627528e-12,8.897459349601137,171.4385372205194,2.8562023120563573,4.1253338278549565,3.3390508376570316,3.3390508376570316,0.5236230313172776,1.15,2.903522467527854,0.0005744789216869384,0.9994255210783131,0.6552141253492991,0.08295231824949999,-0.17304667658458095,-0.04188727979699097,68.71275354552549,overflowing
CAP_HOST_00001,False,late/star-forming,11.417407973258436,261461635378.87622,17.68536877164893,1.934112864668182,-9.414081626140456,3.8540591337944e-10,8.801365070789668,182.27497065562318,1.0829082070947598,1.1371452431826625,1.079450647512555,1.079450647512555,0.033202791178884826,1.15,0.9386527369674391,0.6090136024159123,0.39098639758408776,0.0,0.032451870999479285,-0.06934907817232427,-0.07003940764215777,69.60938200025439,near-capacity/saturated
CAP_HOST_00002,True,early/quiescent,11.066099277333512,116439217264.59691,2.009790792125811,6.150413468872502,-10.850009562193826,1.4125064440454843e-11,8.756701080258628,246.7367418844992,13.494870340802963,6.626008907937536,9.198338019060623,9.198338019060623,0.9637093649157189,1.15,7.998554799183151,4.774403509211211e-07,0.9999995225596491,0.8749769969076684,0.08299996037245087,-0.17314220367126382,-0.16260720887395747,72.64092040246682,overflowing
CAP_HOST_00003,True,early/quiescent,10.559422037485447,36259518900.93157,3.6020183111174418,5.7276106618596305,-11.827786823504681,1.4866652032691513e-12,8.966042762667572,195.71451666673997,2.1835623047343633,3.882394110455678,2.8322501146720103,2.8322501146720103,0.45213160305216443,1.15,2.4628261866713133,0.0018162438604656383,0.9981837561395344,0.5928836332394074,0.08284925175958135,-0.17284000387506582,-0.09041231557486232,70.26553537768422,overflowing
CAP_HOST_00004,False,late/star-forming,10.957511513714866,90680000471.96515,5.776251580453355,2.7749718336865303,-9.905531122234295,1.2429935577547957e-10,8.799768359492846,149.1738935762881,1.6498329425788345,1.0927587217196055,1.3061141225120114,1.3061141225120114,0.11598112534018498,1.15,1.13575141088001,0.29089086602664027,0.7091091339733597,0.08475672095375064,0.05885605811978886,-0.12418462861510718,-0.056603094173141716,69.17999326057617,near-capacity/saturated
CAP_HOST_00005,True,early/quiescent,11.25049223332938,178029607078.67,9.082142884273901,5.00331542233176,-11.485770407289191,3.267605306804758e-12,8.906872175461698,189.79898331065857,3.7143067224386903,3.1895227019775967,3.3481178025460587,3.3481178025460587,0.5248007301144286,1.15,2.91140678482266,0.000563682949430544,0.9994363170505695,0.6561533645409128,0.08295321431519727,-0.17304847332216655,-0.14328021858876647,71.9972552676618,overflowing
CAP_HOST_00006,True,early/quiescent,11.257671972913304,180997248537.61298,7.025983858656519,6.754600875010143,-11.535394142950626,2.9147805109708925e-12,8.890539940709942,219.30893884366165,6.589925357043796,5.74900134607434,5.987361108304905,5.987361108304905,0.7772354520015105,1.15,5.206400963743397,9.643452160146282e-06,0.9999903565478399,0.8079209474662835,0.08299919959347071,-0.17314067826848817,-0.2394841294284259,75.25870177913835,overflowing
CAP_HOST_00007,True,early/quiescent,11.166141346873314,146602490047.94635,6.710483239983723,5.495303619331904,-11.993148853436097,1.015900435651131e-12,8.988514851826492,249.7445851114371,4.546688715305595,6.0654622675509335,5.10832550157992,5.10832550157992,0.7082785626391624,1.15,4.442022175286887,2.9303683660941715e-05,0.9999706963163391,0.7748545989947951,0.08299756779425614,-0.1731374064196786,-0.3077010414421127,77.6604861406502,overflowing
CAP_HOST_00008,False,late/star-forming,10.348792375274924,22325046661.297005,3.0041814440409054,2.667810701836159,-9.673408403527374,2.1212487356689764e-10,8.662784606268948,146.35447205617353,0.7508223720284569,1.0112232739012093,0.8476003546505412,0.8476003546505412,-0.0718088702449372,1.15,0.7370437866526446,0.8943301920028206,0.10566980799717939,0.0,0.00877059406376589,-0.018962069738406553,0.006490845015087569,67.19883246354117,filling/absorbing
CAP_HOST_00009,False,late/star-forming,10.372464954307118,23575719423.904095,3.3028966447973214,3.031288783528437,-9.27845508762974,5.266776782150268e-10,8.772675718078384,149.6662489519853,0.8194326444036655,1.2015866990285,0.9652352769191683,0.9652352769191683,-0.015366814103320385,1.15,0.8393350234079725,0.7731207619027909,0.22687923809720906,0.0,0.018830976762068352,-0.04051070438837896,-0.10137035035277234,70.6210168602374,near-capacity/saturated
