host_id,is_early,morphology,logMstar,Mstar,Reff_kpc,stellar_age_Gyr,logsSFR,sSFR,metallicity,sigma_v_km_s,D_mass_proxy,D_potential_only,D_MR_age,D_sigma_age,logD_mass_proxy,logD_potential_only,logD_MR_age,logD_sigma_age,G_sat_literature,mu_resid_flux_component,mu_resid,H0_proxy
LIT_HOST_00000,True,early/quiescent,9.576853213837982,3774445977.5968013,0.7492077368734176,7.528313235131764,-11.456187312345582,3.497942673068878e-12,8.899146120854912,126.89995097714079,0.114779965834982,0.6167048694268734,1.4965667189964476,2.226192497850689,-0.9401339088596739,-0.20992262242358634,0.17509608305131721,0.34756271486830703,0.9876810400154382,-0.1135833196017754,0.015057057718212363,66.93426287240736
LIT_HOST_00001,False,late/star-forming,10.045888276272063,11114457673.09105,3.4856162276794684,3.0266427399575893,-10.526585508923239,2.9745035465427554e-11,8.737845548729648,109.10242924525629,0.33798790062535117,0.39033286991671823,0.38081786160772174,0.66156440031339,-0.47109884642559297,-0.4085648752563469,-0.41928268997309476,-0.17942787280772668,0.00550798263898277,-0.0006334180034830186,-0.013933677969794769,67.83387583533238
LIT_HOST_00002,True,early/quiescent,9.978390171966122,9514592046.964115,1.5698067992643538,7.403019394811767,-11.1152736465898,7.668781313596438e-12,8.984799843765478,144.27648812173166,0.2893363838206701,0.7419427296035311,1.770517792056449,2.8297113554789504,-0.5385969507315334,-0.1296296165229657,0.2481002953715164,0.4517421376034393,0.9961694506617044,-0.11455948682609601,-0.0950305444219436,70.4151332437029
LIT_HOST_00003,True,early/quiescent,10.415876430398304,26054121278.561874,3.414827911179587,4.4174914768031455,-12.067106043952707,8.568286033688082e-13,9.068605123404296,155.7063237235743,0.792299364718385,0.9339723628588561,1.3299360860876508,1.9666648135321074,-0.10111069229935123,-0.02966597477148879,0.12383077019534008,0.2937303476988415,0.9722916246396446,-0.11181353683355913,-0.039418593672669866,68.63468032980941
LIT_HOST_00004,False,late/star-forming,10.701893771238314,50337746721.564674,5.474565388639941,2.522218373828917,-10.073467952567427,8.443685472037752e-11,8.64243642505556,143.47630221563142,1.5307583902922588,1.1255648992634304,0.9151120013542942,0.9534219823585919,0.18490664854065855,0.05137054116630073,-0.038525749000904566,-0.020714839080911145,0.719310321047433,-0.0827206869204548,-0.018628027844721104,67.98067963315623
LIT_HOST_00005,True,early/quiescent,11.469593574377786,294844868967.545,12.592607813409044,6.426386709462038,-10.974620626383947,1.0601794299725678e-11,8.879029131703767,218.95620811771533,8.966159321814436,2.86618562728836,5.937343759507487,5.657486261166122,0.9526064516801303,0.45730431386886555,0.7735921943758232,0.7526235079724161,0.9999991937231356,-0.1149999072781606,-0.08610366641944261,70.12625229118137
LIT_HOST_00006,True,early/quiescent,10.09143920447558,12343525099.335598,1.1390782162112008,5.7668662438313145,-11.356522992440773,4.400246514116074e-12,9.040839739969295,154.16276989614775,0.3753635361571809,1.3265147252395093,2.4658859072238988,2.516755426508913,-0.42554791822207494,0.12271207531704265,0.3919729785819487,0.40084101368963787,0.9996218580992534,-0.11495651368141414,-0.18682468015767995,73.45558681985086
LIT_HOST_00007,True,early/quiescent,11.259669635386686,181831715192.5458,6.937372418678389,4.451871974135447,-12.158633342619277,6.940114847598352e-13,8.785501343418993,192.91457762301505,5.529457351196472,3.208492610186147,4.6043118910694,3.0423899992464123,0.7426825126890304,0.5063010433594597,0.6631647345890719,0.4832148848202903,0.9999952194849403,-0.11499945024076814,-0.25707164815488026,75.87072361682645
LIT_HOST_00008,False,late/star-forming,10.612639430025974,40986367522.06275,6.695225959921957,2.926355726940512,-9.3190913632937,4.796325368825347e-10,8.73475421230488,123.23086376073381,1.2463852686739711,0.749377429708278,0.7068849754209873,0.8160339518511637,0.09565230732831796,-0.12529939144072966,-0.15065124900937846,-0.08829177164458897,0.29604428759669116,-0.034045093073619484,-0.007862396573363843,67.64448206396646
LIT_HOST_00009,False,late/star-forming,10.48895418853613,30828627379.569702,2.6930846895876304,1.6531963305967041,-10.355002995305947,4.4156740187592114e-11,8.73383896220137,155.26968361423584,0.9374909108168977,1.401298299350568,0.74675141174986,0.7318800250332902,-0.028032934161525285,0.14653059493750145,-0.12682394767985086,-0.13556010574002636,0.38174322680095524,-0.04390047108210986,-0.11688332472546409,71.12733903374846
